score,sentence1,sentence2,sbj1,sbj2
Sim4, گروهی از بچه‌ها در حیاط بازی می‌کنند و پیرمردی در پس زمینه ایستاده است , گروهی از پسران در حیاط بازی می‌کنند و مردی در پس زمینه ایستاده است ,بچه,پسران
Sim3, گروهی از کودکان در خانه مشغول بازی هستند و هیچ مردی در پس زمینه ایستاده نیست , گروهی از بچه‌ها در حیاط بازی می‌کنند و پیرمردی در پس زمینه ایستاده است ,کودکان,بچه
Sim5, پسران جوان در فضای باز بازی می‌کنند و مرد در همان نزدیکی لبخند می‌زند , بچه‌ها در بیرون از خانه و در کنار یک مرد با لبخند بازی می‌کنند ,پسر,بچه
Sim3, بچه‌ها در بیرون از خانه و در کنار یک مرد با لبخند بازی می‌کنند , گروهی از بچه‌ها در حیاط بازی می‌کنند و پیرمردی در پس زمینه ایستاده است ,بچه,بچه
Sim4, پسران جوان در فضای باز بازی می‌کنند و مرد در همان نزدیکی لبخند می‌زند , گروهی از بچه‌ها در حیاط بازی می‌کنند و پیرمردی در پس زمینه ایستاده است ,پسر,بچه
Sim4, دو سگ با هم دعوا می‌کنند , دو سگ در حال کشتی گرفتن و در آغوش گرفتن هستند ,سگ,سگ
Sim3, دو نفر کیک بوکسینگ می‌کنند و تماشاگران تماشا نمی‌کنند , دو نفر در حال کیک بوکسینگ هستند و تماشاگران در حال تماشای آن هستند ,نفر,نفر
Sim5, دو زن جوان در یک مبارزه کیک بوکسینگ به مصاف هم می‌روند , دو زن در یک مسابقه کیک بوکسینگ به مصاف هم می‌روند ,زن,زن
Sim3, دو نفر در حال کیک بوکسینگ هستند و تماشاگران در حال تماشای آن هستند , دو زن جوان در یک مبارزه کیک بوکسینگ درگیری ندارند ,نفر,زن
Sim4, دو زن در یک مسابقه کیک بوکسینگ به مصاف هم می‌روند , دو نفر کیک بوکسینگ می‌کنند و تماشاگران تماشا نمی‌کنند ,زن,نفر
Sim4, سه پسر در حال پریدن در برگها هستند , سه بچه در حال پریدن در برگها هستند ,پسر,بچه
Sim4, سه بچه در برگها نشسته‌اند , سه بچه در حال پریدن در برگها هستند ,بچه,بچه
Sim4, کودکان با پیراهن قرمز در برگ‌ها بازی می‌کنند , سه بچه در برگها نشسته‌اند ,کودک,بچه
Sim4, کودکان با پیراهن قرمز در برگ‌ها بازی می‌کنند , سه بچه در حال پریدن در برگها هستند ,کودک,بچه
Sim4, دو کودک در برف دراز کشیده و مشغول ترسیم فرشته هستند , دو نفر با لباس برفی در برف دراز کشیده و فرشته‌های برفی می‌سازند ,کودک,نفر
Sim4, افرادی که لباس می‌پوشند در جنگلی جمع می‌شوند و به همان سمت می‌روند , افراد نقاب دار در یک جنگل به همان سمت نگاه می‌کنند ,افراد,افراد
Sim3, افرادی که لباس می‌پوشند در جنگلی جمع می‌شوند و به همان سمت می‌روند , افرادی که لباس می‌پوشند در جنگلی پراکنده می‌شوند و به جهات مختلف نگاه می‌کنند ,افراد,افراد
Sim4, مردم به برخی لباس‌های جمع شده در مجاورت جنگل نگاه می‌کنند , افرادی که لباس می‌پوشند در جنگلی جمع می‌شوند و به همان سمت می‌روند ,دیگری,افراد
Sim2, یک دختر کوچک به دنبال زنی با لباس است , افرادی که لباس می‌پوشند در جنگلی پراکنده می‌شوند و به جهات مختلف نگاه می‌کنند ,دختر,افراد
Sim3, یک دختر کوچک به دنبال زنی با لباس است , مردم به برخی لباس‌های جمع شده در مجاورت جنگل نگاه می‌کنند ,دختر,دیگر
Sim2, دختر جوانی در حال تماشای زنی با لباس است , افرادی که لباس می‌پوشند در جنگلی جمع می‌شوند و به همان سمت می‌روند ,دختر,افراد
Sim3, افرادی که لباس می‌پوشند در جنگلی جمع می‌شوند و به همان سمت می‌روند , دختر بچه به دنبال مردی با لباس است ,افراد,دختر
Sim2, افرادی که لباس می‌پوشند در جنگلی جمع می‌شوند و به همان سمت می‌روند , یک دختر بچه با لباس شبیه یک زن است ,افراد,دختر بچه
Sim5, یک موتورسوار تنها در حال پریدن در هوا است , یک دوچرخه سوار در حال پریدن در هوا است به تنهایی ,موتورسوار,دوچرخه سوار
Sim4, هیچ دوچرخه سواری در هوا نمی‌پرد , یک موتورسوار تنها در حال پریدن در هوا است ,دوچرخه,موتورسوار
